task_id,task,complexity,tool_sequence,tool_transitions,tokens_per_tool,latency_per_tool,total_tokens,n_tool_calls,success
11,"Run code to preprocess a dataset, then embed the cleaned records for the vector index",simple,"[""code_run_code"", ""filesystem_read_file"", ""vector_embed_query""]","[[""code_run_code"", ""filesystem_read_file""], [""filesystem_read_file"", ""vector_embed_query""]]","{""code_run_code"": 891, ""filesystem_read_file"": 941, ""vector_embed_query"": 1001}","{""code_run_code"": 2943.2499408721924, ""filesystem_read_file"": 787.433385848999, ""vector_embed_query"": 973.6320972442627}",3918,3,True
12,Search the web for the latest Python version and send the result via email to the team,simple,"[""websearch_search_web"", ""email_send_email""]","[[""websearch_search_web"", ""email_send_email""]]","{""websearch_search_web"": 807, ""email_send_email"": 896}","{""websearch_search_web"": 1165.2288436889648, ""email_send_email"": 2110.5477809906006}",2666,2,True
13,Run a Python script to generate embeddings for a batch of documents and search the vector index with,simple,[],[],{},{},824,0,True
14,Embed the query 'security vulnerabilities' and run code to rank the resulting matches by relevance s,simple,"[""vector_embed_query"", ""vector_search_index"", ""code_run_code"", ""code_get_output""]","[[""vector_embed_query"", ""vector_search_index""], [""vector_search_index"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""vector_embed_query"": 806, ""vector_search_index"": 864, ""code_run_code"": 988, ""code_get_output"": 1038}","{""vector_embed_query"": 1004.8096179962158, ""vector_search_index"": 1533.8575839996338, ""code_run_code"": 2466.2837982177734, ""code_get_output"": 981.0805320739746}",4885,4,True
15,Read inbox for the weekly newsletter and forward a summary email to the team,simple,"[""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox"", ""websearch_search_web"", ""analytics_run_analysis"", ""analytics_run_analysis"", ""email_send_email""]","[[""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""websearch_search_web""], [""websearch_search_web"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""email_send_email""]]","{""email_read_inbox"": 3594, ""websearch_search_web"": 1048, ""analytics_run_analysis"": 1308, ""email_send_email"": 1522}","{""email_read_inbox"": 4133.111476898193, ""websearch_search_web"": 915.2255058288574, ""analytics_run_analysis"": 10760.154247283936, ""email_send_email"": 3329.3755054473877}",9154,8,True
16,"Run code to preprocess a dataset, then embed the cleaned records for the vector index",simple,"[""code_run_code"", ""code_get_output"", ""filesystem_read_file"", ""vector_embed_query""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""filesystem_read_file""], [""filesystem_read_file"", ""vector_embed_query""]]","{""code_run_code"": 977, ""code_get_output"": 1030, ""filesystem_read_file"": 1089, ""vector_embed_query"": 1148}","{""code_run_code"": 4078.1397819519043, ""code_get_output"": 990.4088973999023, ""filesystem_read_file"": 1099.2779731750488, ""vector_embed_query"": 1075.1535892486572}",5485,4,True
17,Embed a batch of customer feedback text and run code to cluster the resulting vectors,simple,"[""vector_embed_query"", ""code_run_code"", ""code_get_output""]","[[""vector_embed_query"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""vector_embed_query"": 988, ""code_run_code"": 1259, ""code_get_output"": 1309}","{""vector_embed_query"": 4529.297351837158, ""code_run_code"": 4763.957500457764, ""code_get_output"": 1005.1000118255615}",4957,3,True
18,"Run code to preprocess a dataset, then embed the cleaned records for the vector index",simple,"[""code_run_code"", ""code_get_output"", ""filesystem_read_file"", ""vector_embed_query""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""filesystem_read_file""], [""filesystem_read_file"", ""vector_embed_query""]]","{""code_run_code"": 996, ""code_get_output"": 1046, ""filesystem_read_file"": 1105, ""vector_embed_query"": 1166}","{""code_run_code"": 6738.127708435059, ""code_get_output"": 1068.7494277954102, ""filesystem_read_file"": 969.5661067962646, ""vector_embed_query"": 1243.298053741455}",5590,4,True
19,Read the inbox for messages about project deadlines and create calendar events for each deadline fou,simple,"[""email_read_inbox"", ""email_read_inbox"", ""websearch_search_web""]","[[""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""websearch_search_web""]]","{""email_read_inbox"": 1679, ""websearch_search_web"": 928}","{""email_read_inbox"": 2208.82511138916, ""websearch_search_web"": 933.4301948547363}",3618,3,True
20,"Run code to preprocess a dataset, then embed the cleaned records for the vector index",simple,"[""code_run_code"", ""code_get_output"", ""filesystem_read_file"", ""vector_embed_query""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""filesystem_read_file""], [""filesystem_read_file"", ""vector_embed_query""]]","{""code_run_code"": 929, ""code_get_output"": 979, ""filesystem_read_file"": 1038, ""vector_embed_query"": 1096}","{""code_run_code"": 3680.6857585906982, ""code_get_output"": 917.8450107574463, ""filesystem_read_file"": 887.7208232879639, ""vector_embed_query"": 1279.7188758850098}",5233,4,True
21,Run a Python script to generate embeddings for a batch of documents and search the vector index with,simple,"[""code_run_code"", ""code_get_output"", ""vector_search_index""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""vector_search_index""]]","{""code_run_code"": 930, ""code_get_output"": 982, ""vector_search_index"": 1049}","{""code_run_code"": 2998.290777206421, ""code_get_output"": 1312.9994869232178, ""vector_search_index"": 958.7607383728027}",4143,3,True
22,Query the users database for active accounts and send a summary email to the team,simple,"[""database_query_db"", ""analytics_generate_report"", ""email_send_email""]","[[""database_query_db"", ""analytics_generate_report""], [""analytics_generate_report"", ""email_send_email""]]","{""database_query_db"": 816, ""analytics_generate_report"": 925, ""email_send_email"": 1029}","{""database_query_db"": 1156.6174030303955, ""analytics_generate_report"": 2121.706962585449, ""email_send_email"": 1693.3724880218506}",3867,3,True
23,"Run code to preprocess a dataset, then embed the cleaned records for the vector index",simple,"[""code_run_code"", ""code_get_output"", ""filesystem_read_file"", ""vector_embed_query""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""filesystem_read_file""], [""filesystem_read_file"", ""vector_embed_query""]]","{""code_run_code"": 926, ""code_get_output"": 976, ""filesystem_read_file"": 1035, ""vector_embed_query"": 1096}","{""code_run_code"": 2883.162021636963, ""code_get_output"": 2380.308151245117, ""filesystem_read_file"": 954.869270324707, ""vector_embed_query"": 1240.6301498413086}",5232,4,True
24,Embed a batch of customer feedback text and run code to cluster the resulting vectors,simple,"[""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""code_run_code"", ""code_get_output""]","[[""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""vector_embed_query"": 6438, ""code_run_code"": 1548, ""code_get_output"": 1598}","{""vector_embed_query"": 7952.171564102173, ""code_run_code"": 3652.320623397827, ""code_get_output"": 1439.6522045135498}",11286,8,True
25,Read the inbox for messages about project deadlines and create calendar events for each deadline fou,simple,"[""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox""]","[[""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""]]","{""email_read_inbox"": 10835}","{""email_read_inbox"": 10515.504598617554}",12295,10,True
26,Search the vector index for documents related to 'machine learning' and run code to summarize the to,simple,"[""vector_search_index"", ""code_run_code"", ""code_get_output""]","[[""vector_search_index"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""vector_search_index"": 818, ""code_run_code"": 1041, ""code_get_output"": 1091}","{""vector_search_index"": 1065.4301643371582, ""code_run_code"": 3576.7288208007812, ""code_get_output"": 900.301456451416}",4156,3,True
27,"Run code to preprocess a dataset, then embed the cleaned records for the vector index",simple,"[""code_run_code"", ""code_get_output"", ""vector_embed_query""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""vector_embed_query""]]","{""code_run_code"": 935, ""code_get_output"": 985, ""vector_embed_query"": 1053}","{""code_run_code"": 3122.9541301727295, ""code_get_output"": 994.786262512207, ""vector_embed_query"": 1444.8001384735107}",4121,3,True
28,Run a Python script to generate embeddings for a batch of documents and search the vector index with,simple,"[""code_run_code"", ""code_get_output"", ""vector_search_index""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""vector_search_index""]]","{""code_run_code"": 918, ""code_get_output"": 970, ""vector_search_index"": 1040}","{""code_run_code"": 3412.264108657837, ""code_get_output"": 1427.6304244995117, ""vector_search_index"": 2572.019100189209}",4119,3,True
29,Fetch the top web result for 'best practices 2026' and send a summary email,simple,"[""websearch_search_web"", ""email_send_email""]","[[""websearch_search_web"", ""email_send_email""]]","{""websearch_search_web"": 810, ""email_send_email"": 1051}","{""websearch_search_web"": 1029.923915863037, ""email_send_email"": 5509.010076522827}",2982,2,True
30,"Run code to preprocess a dataset, then embed the cleaned records for the vector index",simple,"[""code_run_code"", ""code_get_output"", ""vector_embed_query""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""vector_embed_query""]]","{""code_run_code"": 960, ""code_get_output"": 1009, ""vector_embed_query"": 1077}","{""code_run_code"": 5966.804027557373, ""code_get_output"": 904.7729969024658, ""vector_embed_query"": 1042.3870086669922}",4211,3,True
31,Embed a batch of customer feedback text and run code to cluster the resulting vectors,simple,"[""vector_embed_query"", ""code_run_code"", ""code_get_output""]","[[""vector_embed_query"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""vector_embed_query"": 869, ""code_run_code"": 1071, ""code_get_output"": 1121}","{""vector_embed_query"": 3516.9570446014404, ""code_run_code"": 6600.217580795288, ""code_get_output"": 2063.1821155548096}",4276,3,True
32,Query the users database for active accounts and send a summary email to the team,simple,"[""database_query_db"", ""analytics_run_analysis"", ""email_send_email""]","[[""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""email_send_email""]]","{""database_query_db"": 815, ""analytics_run_analysis"": 906, ""email_send_email"": 1039}","{""database_query_db"": 1208.8301181793213, ""analytics_run_analysis"": 1512.46976852417, ""email_send_email"": 2809.248208999634}",3854,3,True
33,Run a Python script to generate embeddings for a batch of documents and search the vector index with,simple,[],[],{},{},872,0,True
34,Embed the query 'security vulnerabilities' and run code to rank the resulting matches by relevance s,simple,"[""vector_embed_query"", ""vector_search_index"", ""code_run_code"", ""code_get_output""]","[[""vector_embed_query"", ""vector_search_index""], [""vector_search_index"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""vector_embed_query"": 806, ""vector_search_index"": 868, ""code_run_code"": 1037, ""code_get_output"": 1087}","{""vector_embed_query"": 892.8525447845459, ""vector_search_index"": 1506.4918994903564, ""code_run_code"": 3111.4437580108643, ""code_get_output"": 995.6252574920654}",5041,4,True
35,Read the file requirements.txt and send an email listing the dependencies,simple,"[""filesystem_read_file"", ""email_send_email""]","[[""filesystem_read_file"", ""email_send_email""]]","{""filesystem_read_file"": 801, ""email_send_email"": 890}","{""filesystem_read_file"": 849.9374389648438, ""email_send_email"": 2210.7901573181152}",2637,2,True
36,"Run code to preprocess a dataset, then embed the cleaned records for the vector index",simple,"[""code_run_code"", ""code_get_output"", ""filesystem_read_file"", ""vector_embed_query""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""filesystem_read_file""], [""filesystem_read_file"", ""vector_embed_query""]]","{""code_run_code"": 1019, ""code_get_output"": 1069, ""filesystem_read_file"": 1128, ""vector_embed_query"": 1189}","{""code_run_code"": 3709.3405723571777, ""code_get_output"": 1009.8781585693359, ""filesystem_read_file"": 974.0924835205078, ""vector_embed_query"": 998.1276988983154}",5721,4,True
37,Run a Python script to generate embeddings for a batch of documents and search the vector index with,simple,[],[],{},{},873,0,True
38,Search the vector index for similar past incidents and run code to compute a similarity score distri,simple,"[""vector_search_index"", ""code_run_code"", ""code_get_output""]","[[""vector_search_index"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""vector_search_index"": 481, ""code_run_code"": 481, ""code_get_output"": 1049}","{""vector_search_index"": 5266.159772872925, ""code_run_code"": 5266.159772872925, ""code_get_output"": 1023.6420631408691}",3210,3,True
39,Query the users database for active accounts and send a summary email to the team,simple,"[""database_query_db"", ""analytics_generate_report"", ""email_send_email""]","[[""database_query_db"", ""analytics_generate_report""], [""analytics_generate_report"", ""email_send_email""]]","{""database_query_db"": 815, ""analytics_generate_report"": 936, ""email_send_email"": 1057}","{""database_query_db"": 1249.1931915283203, ""analytics_generate_report"": 2060.741901397705, ""email_send_email"": 2056.016683578491}",3928,3,True
40,"Run code to preprocess a dataset, then embed the cleaned records for the vector index",simple,"[""code_run_code"", ""code_get_output"", ""filesystem_read_file"", ""vector_embed_query""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""filesystem_read_file""], [""filesystem_read_file"", ""vector_embed_query""]]","{""code_run_code"": 950, ""code_get_output"": 1000, ""filesystem_read_file"": 1062, ""vector_embed_query"": 1123}","{""code_run_code"": 4043.896436691284, ""code_get_output"": 950.9484767913818, ""filesystem_read_file"": 1376.24192237854, ""vector_embed_query"": 1227.3194789886475}",5363,4,True
41,Run a Python script to generate embeddings for a batch of documents and search the vector index with,simple,[],[],{},{},870,0,True
42,Read inbox for the weekly newsletter and forward a summary email to the team,simple,"[""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox"", ""websearch_search_web"", ""analytics_generate_report"", ""email_send_email""]","[[""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""websearch_search_web""], [""websearch_search_web"", ""analytics_generate_report""], [""analytics_generate_report"", ""email_send_email""]]","{""email_read_inbox"": 2604, ""websearch_search_web"": 986, ""analytics_generate_report"": 1048, ""email_send_email"": 1175}","{""email_read_inbox"": 3026.858329772949, ""websearch_search_web"": 942.5187110900879, ""analytics_generate_report"": 1188.6792182922363, ""email_send_email"": 2389.4901275634766}",7068,6,True
43,Run a Python script to generate embeddings for a batch of documents and search the vector index with,simple,"[""code_run_code"", ""code_get_output"", ""vector_search_index""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""vector_search_index""]]","{""code_run_code"": 912, ""code_get_output"": 964, ""vector_search_index"": 1036}","{""code_run_code"": 2643.3496475219727, ""code_get_output"": 945.2929496765137, ""vector_search_index"": 1925.7392883300781}",4079,3,True
44,Search the vector index for similar past incidents and run code to compute a similarity score distri,simple,"[""vector_search_index"", ""code_run_code""]","[[""vector_search_index"", ""code_run_code""]]","{""vector_search_index"": 471, ""code_run_code"": 471}","{""vector_search_index"": 3190.054416656494, ""code_run_code"": 3190.054416656494}",2035,2,True
45,Search the web for the latest Python version and send the result via email to the team,simple,"[""websearch_search_web"", ""email_send_email""]","[[""websearch_search_web"", ""email_send_email""]]","{""websearch_search_web"": 810, ""email_send_email"": 911}","{""websearch_search_web"": 810.2333545684814, ""email_send_email"": 2285.54105758667}",2703,2,True
46,Embed a batch of customer feedback text and run code to cluster the resulting vectors,simple,"[""vector_embed_query"", ""code_run_code"", ""code_get_output""]","[[""vector_embed_query"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""vector_embed_query"": 859, ""code_run_code"": 1086, ""code_get_output"": 1136}","{""vector_embed_query"": 1830.8749198913574, ""code_run_code"": 3466.5417671203613, ""code_get_output"": 1820.723533630371}",4367,3,True
47,Embed a batch of customer feedback text and run code to cluster the resulting vectors,simple,"[""vector_embed_query"", ""code_run_code"", ""code_get_output""]","[[""vector_embed_query"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""vector_embed_query"": 893, ""code_run_code"": 1097, ""code_get_output"": 1147}","{""vector_embed_query"": 2192.3413276672363, ""code_run_code"": 3325.3557682037354, ""code_get_output"": 1018.5306072235107}",4396,3,True
48,Search the vector index for similar past incidents and run code to compute a similarity score distri,simple,"[""vector_search_index"", ""code_run_code""]","[[""vector_search_index"", ""code_run_code""]]","{""vector_search_index"": 473, ""code_run_code"": 473}","{""vector_search_index"": 5202.6848793029785, ""code_run_code"": 5202.6848793029785}",2062,2,True
49,Query the users database for active accounts and send a summary email to the team,simple,"[""database_query_db"", ""analytics_generate_report"", ""email_send_email""]","[[""database_query_db"", ""analytics_generate_report""], [""analytics_generate_report"", ""email_send_email""]]","{""database_query_db"": 815, ""analytics_generate_report"": 915, ""email_send_email"": 1023}","{""database_query_db"": 1526.1127948760986, ""analytics_generate_report"": 1687.4725818634033, ""email_send_email"": 1706.3884735107422}",3850,3,True
50,Embed a batch of customer feedback text and run code to cluster the resulting vectors,simple,"[""vector_embed_query"", ""code_run_code"", ""code_get_output""]","[[""vector_embed_query"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""vector_embed_query"": 877, ""code_run_code"": 1071, ""code_get_output"": 1121}","{""vector_embed_query"": 5126.927852630615, ""code_run_code"": 4203.7858963012695, ""code_get_output"": 1096.2986946105957}",4278,3,True
51,"Run code to generate synthetic test queries, embed each query, and search the vector index to valida",medium,"[""code_run_code"", ""code_get_output"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""]]","{""code_run_code"": 894, ""code_get_output"": 944, ""vector_embed_query"": 12910, ""vector_search_index"": 1910}","{""code_run_code"": 2175.1389503479004, ""code_get_output"": 4461.273670196533, ""vector_embed_query"": 11276.253938674927, ""vector_search_index"": 55320.01733779907}",19303,22,True
52,Query the experiments database and send a summary email of recent results,medium,"[""database_query_db"", ""analytics_run_analysis"", ""email_send_email""]","[[""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""email_send_email""]]","{""database_query_db"": 815, ""analytics_run_analysis"": 904, ""email_send_email"": 1054}","{""database_query_db"": 1379.6138763427734, ""analytics_run_analysis"": 2186.9335174560547, ""email_send_email"": 2509.6144676208496}",3959,3,True
53,"Embed a set of research paper abstracts, search the vector index for related prior work, and run cod",medium,"[""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""code_run_code"", ""code_get_output""]","[[""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""vector_embed_query"": 1928, ""vector_search_index"": 1239, ""code_run_code"": 1625, ""code_get_output"": 1675}","{""vector_embed_query"": 7691.0576820373535, ""vector_search_index"": 6890.851736068726, ""code_run_code"": 6408.767461776733, ""code_get_output"": 916.8784618377686}",8408,8,True
54,"Search the vector index for similar customer complaints, run code to cluster them by theme, and embe",medium,"[""vector_search_index"", ""code_run_code"", ""code_get_output"", ""vector_embed_query""]","[[""vector_search_index"", ""code_run_code""], [""code_run_code"", ""code_get_output""], [""code_get_output"", ""vector_embed_query""]]","{""vector_search_index"": 827, ""code_run_code"": 1264, ""code_get_output"": 1314, ""vector_embed_query"": 1453}","{""vector_search_index"": 1206.0856819152832, ""code_run_code"": 7649.643659591675, ""code_get_output"": 1456.5761089324951, ""vector_embed_query"": 2931.978702545166}",6507,4,True
55,Search for ML best practices online and fetch two paper URLs for the reading list,medium,"[""websearch_search_web"", ""websearch_fetch_url"", ""websearch_fetch_url""]","[[""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""websearch_fetch_url""]]","{""websearch_search_web"": 807, ""websearch_fetch_url"": 912}","{""websearch_search_web"": 973.0343818664551, ""websearch_fetch_url"": 3963.0041122436523}",2776,3,True
56,"Search the vector index for similar customer complaints, run code to cluster them by theme, and embe",medium,"[""vector_search_index"", ""code_run_code"", ""code_get_output"", ""vector_embed_query""]","[[""vector_search_index"", ""code_run_code""], [""code_run_code"", ""code_get_output""], [""code_get_output"", ""vector_embed_query""]]","{""vector_search_index"": 560, ""code_run_code"": 560, ""code_get_output"": 1212, ""vector_embed_query"": 1283}","{""vector_search_index"": 9274.35851097107, ""code_run_code"": 9274.35851097107, ""code_get_output"": 995.6912994384766, ""vector_embed_query"": 1255.2714347839355}",5086,4,True
57,"Run a benchmarking script comparing embedding models, embed a validation set with each model, and se",medium,"[""code_run_code"", ""code_get_output"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_search_index"", ""vector_search_index""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""]]","{""code_run_code"": 1025, ""code_get_output"": 1075, ""vector_embed_query"": 4956, ""vector_search_index"": 3052}","{""code_run_code"": 6026.070833206177, ""code_get_output"": 1079.8170566558838, ""vector_embed_query"": 19695.972442626953, ""vector_search_index"": 3893.7854766845703}",12064,10,True
