task_id,task,complexity,tool_sequence,tool_transitions,tokens_per_tool,latency_per_tool,total_tokens,n_tool_calls,success
11,"Query the sales database for this month's totals, run an analysis of the trend, and email the summar",simple,"[""database_query_db"", ""analytics_run_analysis"", ""analytics_generate_report"", ""email_send_email""]","[[""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""email_send_email""]]","{""database_query_db"": 858, ""analytics_run_analysis"": 969, ""analytics_generate_report"": 1062, ""email_send_email"": 1192}","{""database_query_db"": 1577.2385597229004, ""analytics_run_analysis"": 1723.876953125, ""analytics_generate_report"": 1155.731201171875, ""email_send_email"": 1726.6314029693604}",5357,4,True
12,"Run an analysis of last week's usage data, email the findings to the team, and create a calendar eve",simple,"[""database_query_db"", ""analytics_run_analysis"", ""analytics_generate_report"", ""email_send_email"", ""calendar_create_event""]","[[""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""email_send_email""], [""email_send_email"", ""calendar_create_event""]]","{""database_query_db"": 831, ""analytics_run_analysis"": 920, ""analytics_generate_report"": 389, ""email_send_email"": 389, ""calendar_create_event"": 389}","{""database_query_db"": 1292.8216457366943, ""analytics_run_analysis"": 1226.9155979156494, ""analytics_generate_report"": 2976.336717605591, ""email_send_email"": 2976.336717605591, ""calendar_create_event"": 2976.336717605591}",4331,5,True
13,"Read the inbox for the bug report, create a calendar event for the triage meeting, and run code to r",simple,"[""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox"", ""websearch_search_web"", ""websearch_search_web"", ""calendar_create_event"", ""code_run_code""]","[[""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""calendar_create_event""], [""calendar_create_event"", ""code_run_code""]]","{""email_read_inbox"": 2640, ""websearch_search_web"": 2057, ""calendar_create_event"": 624, ""code_run_code"": 624}","{""email_read_inbox"": 2592.994451522827, ""websearch_search_web"": 2168.815851211548, ""calendar_create_event"": 2551.380395889282, ""code_run_code"": 2551.380395889282}",7405,7,True
14,"List this week's calendar events, run code to extract the meeting topics, and embed the topics for f",simple,"[""calendar_list_events"", ""code_run_code"", ""vector_embed_query""]","[[""calendar_list_events"", ""code_run_code""], [""code_run_code"", ""vector_embed_query""]]","{""calendar_list_events"": 839, ""code_run_code"": 492, ""vector_embed_query"": 492}","{""calendar_list_events"": 1008.946418762207, ""code_run_code"": 1574.4140148162842, ""vector_embed_query"": 1574.4140148162842}",2943,3,True
15,"Run a Python script to generate a summary, search the vector index for related past summaries, and w",simple,"[""code_run_code"", ""code_get_output"", ""vector_search_index"", ""filesystem_write_file""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""vector_search_index""], [""vector_search_index"", ""filesystem_write_file""]]","{""code_run_code"": 937, ""code_get_output"": 987, ""vector_search_index"": 1054, ""filesystem_write_file"": 1164}","{""code_run_code"": 2403.198003768921, ""code_get_output"": 1098.5455513000488, ""vector_search_index"": 856.9097518920898, ""filesystem_write_file"": 1958.754301071167}",5395,4,True
16,"Search the vector index for prior notes on this topic, read the matching file, and search the web fo",simple,"[""vector_search_index"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""websearch_search_web""]","[[""vector_search_index"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""websearch_search_web""]]","{""vector_search_index"": 822, ""filesystem_read_file"": 942, ""websearch_search_web"": 1043}","{""vector_search_index"": 885.1053714752197, ""filesystem_read_file"": 4644.634008407593, ""websearch_search_web"": 1076.7734050750732}",4024,5,True
17,"Read the file server_list.txt, search the web for each server's latest status page, and query the da",simple,"[""filesystem_read_file"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""database_query_db"", ""database_query_db"", ""database_query_db"", ""database_query_db"", ""database_query_db"", ""database_query_db"", ""database_query_db"", ""database_query_db""]","[[""filesystem_read_file"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""database_query_db""], [""database_query_db"", ""database_query_db""], [""database_query_db"", ""database_query_db""], [""database_query_db"", ""database_query_db""], [""database_query_db"", ""database_query_db""], [""database_query_db"", ""database_query_db""], [""database_query_db"", ""database_query_db""], [""database_query_db"", ""database_query_db""]]","{""filesystem_read_file"": 818, ""websearch_search_web"": 8472, ""database_query_db"": 1600}","{""filesystem_read_file"": 825.6964683532715, ""websearch_search_web"": 8681.149244308472, ""database_query_db"": 32683.55941772461}",12805,17,True
18,"Search the web for current market prices, query the database for our current holdings, and run an an",simple,"[""websearch_search_web"", ""database_query_db"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""websearch_search_web"", ""database_query_db""], [""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""websearch_search_web"": 425, ""database_query_db"": 425, ""analytics_run_analysis"": 1005, ""analytics_generate_report"": 1094}","{""websearch_search_web"": 1136.9507312774658, ""database_query_db"": 1136.9507312774658, ""analytics_run_analysis"": 2267.9672241210938, ""analytics_generate_report"": 1348.9859104156494}",4314,4,True
19,"Query the sales database for this month's totals, run an analysis of the trend, and email the summar",simple,"[""database_query_db"", ""analytics_run_analysis"", ""analytics_generate_report"", ""email_send_email""]","[[""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""email_send_email""]]","{""database_query_db"": 846, ""analytics_run_analysis"": 902, ""analytics_generate_report"": 989, ""email_send_email"": 1135}","{""database_query_db"": 1131.880521774292, ""analytics_run_analysis"": 926.8300533294678, ""analytics_generate_report"": 1277.8277397155762, ""email_send_email"": 4575.98614692688}",5077,4,True
20,"Run an analysis of last week's usage data, email the findings to the team, and create a calendar eve",simple,"[""database_query_db"", ""analytics_run_analysis"", ""analytics_generate_report"", ""email_send_email"", ""calendar_create_event""]","[[""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""email_send_email""], [""email_send_email"", ""calendar_create_event""]]","{""database_query_db"": 861, ""analytics_run_analysis"": 950, ""analytics_generate_report"": 395, ""email_send_email"": 395, ""calendar_create_event"": 395}","{""database_query_db"": 1358.23655128479, ""analytics_run_analysis"": 1861.6180419921875, ""analytics_generate_report"": 3450.9127140045166, ""email_send_email"": 3450.9127140045166, ""calendar_create_event"": 3450.9127140045166}",4440,5,True
21,"Read the inbox for the bug report, create a calendar event for the triage meeting, and run code to r",simple,"[""email_read_inbox"", ""calendar_create_event"", ""code_run_code""]","[[""email_read_inbox"", ""calendar_create_event""], [""calendar_create_event"", ""code_run_code""]]","{""email_read_inbox"": 340, ""calendar_create_event"": 340, ""code_run_code"": 340}","{""email_read_inbox"": 3172.5821495056152, ""calendar_create_event"": 3172.5821495056152, ""code_run_code"": 3172.5821495056152}",2286,3,True
22,"List this week's calendar events, run code to extract the meeting topics, and embed the topics for f",simple,"[""calendar_list_events"", ""code_run_code"", ""vector_embed_query""]","[[""calendar_list_events"", ""code_run_code""], [""code_run_code"", ""vector_embed_query""]]","{""calendar_list_events"": 839, ""code_run_code"": 496, ""vector_embed_query"": 496}","{""calendar_list_events"": 1094.2456722259521, ""code_run_code"": 2015.8796310424805, ""vector_embed_query"": 2015.8796310424805}",2994,3,True
23,"Run a Python script to generate a summary, search the vector index for related past summaries, and w",simple,"[""code_run_code"", ""code_get_output"", ""vector_search_index"", ""filesystem_write_file""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""vector_search_index""], [""vector_search_index"", ""filesystem_write_file""]]","{""code_run_code"": 899, ""code_get_output"": 949, ""vector_search_index"": 1023, ""filesystem_write_file"": 1148}","{""code_run_code"": 1845.0989723205566, ""code_get_output"": 1104.8166751861572, ""vector_search_index"": 890.8176422119141, ""filesystem_write_file"": 1992.4607276916504}",5276,4,True
24,"Search the vector index for prior notes on this topic, read the matching file, and search the web fo",simple,"[""vector_search_index"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""websearch_search_web""]","[[""vector_search_index"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""websearch_search_web""]]","{""vector_search_index"": 825, ""filesystem_read_file"": 720, ""websearch_search_web"": 240}","{""vector_search_index"": 1039.1361713409424, ""filesystem_read_file"": 21871.469736099243, ""websearch_search_web"": 7290.489912033081}",3008,5,True
25,"Read the file server_list.txt, search the web for each server's latest status page, and query the da",simple,"[""filesystem_read_file"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""database_query_db"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""database_query_db""], [""database_query_db"", ""filesystem_write_file""]]","{""filesystem_read_file"": 818, ""websearch_search_web"": 1008, ""database_query_db"": 1254, ""filesystem_write_file"": 1355}","{""filesystem_read_file"": 1427.3624420166016, ""websearch_search_web"": 19295.91941833496, ""database_query_db"": 1037.872076034546, ""filesystem_write_file"": 1594.25687789917}",5940,11,True
26,"Search the web for current market prices, query the database for our current holdings, and run an an",simple,"[""websearch_search_web"", ""database_query_db"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""websearch_search_web"", ""database_query_db""], [""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""websearch_search_web"": 426, ""database_query_db"": 426, ""analytics_run_analysis"": 1006, ""analytics_generate_report"": 1093}","{""websearch_search_web"": 1353.029727935791, ""database_query_db"": 1353.029727935791, ""analytics_run_analysis"": 1958.3923816680908, ""analytics_generate_report"": 1150.9299278259277}",4246,4,True
27,"Query the sales database for this month's totals, run an analysis of the trend, and email the summar",simple,"[""database_query_db"", ""analytics_run_analysis"", ""analytics_generate_report"", ""email_send_email""]","[[""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""email_send_email""]]","{""database_query_db"": 849, ""analytics_run_analysis"": 902, ""analytics_generate_report"": 995, ""email_send_email"": 1131}","{""database_query_db"": 1268.052339553833, ""analytics_run_analysis"": 984.6837520599365, ""analytics_generate_report"": 1382.0834159851074, ""email_send_email"": 4979.367733001709}",5098,4,True
28,"Run an analysis of last week's usage data, email the findings to the team, and create a calendar eve",simple,"[""database_query_db"", ""analytics_run_analysis"", ""analytics_generate_report"", ""email_send_email"", ""calendar_create_event""]","[[""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""email_send_email""], [""email_send_email"", ""calendar_create_event""]]","{""database_query_db"": 863, ""analytics_run_analysis"": 952, ""analytics_generate_report"": 400, ""email_send_email"": 400, ""calendar_create_event"": 400}","{""database_query_db"": 5355.712413787842, ""analytics_run_analysis"": 1276.613712310791, ""analytics_generate_report"": 4952.79860496521, ""email_send_email"": 4952.79860496521, ""calendar_create_event"": 4952.79860496521}",4454,5,True
29,"Read the inbox for the bug report, create a calendar event for the triage meeting, and run code to r",simple,"[""email_read_inbox"", ""calendar_create_event"", ""code_run_code""]","[[""email_read_inbox"", ""calendar_create_event""], [""calendar_create_event"", ""code_run_code""]]","{""email_read_inbox"": 307, ""calendar_create_event"": 307, ""code_run_code"": 307}","{""email_read_inbox"": 2055.17578125, ""calendar_create_event"": 2055.17578125, ""code_run_code"": 2055.17578125}",2122,3,True
30,"List this week's calendar events, run code to extract the meeting topics, and embed the topics for f",simple,"[""calendar_list_events"", ""code_run_code"", ""vector_embed_query""]","[[""calendar_list_events"", ""code_run_code""], [""code_run_code"", ""vector_embed_query""]]","{""calendar_list_events"": 839, ""code_run_code"": 491, ""vector_embed_query"": 491}","{""calendar_list_events"": 1869.2848682403564, ""code_run_code"": 1382.9231262207031, ""vector_embed_query"": 1382.9231262207031}",2931,3,True
31,"Run a Python script to generate a summary, search the vector index for related past summaries, and w",simple,"[""code_run_code"", ""code_get_output"", ""vector_search_index"", ""filesystem_write_file""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""vector_search_index""], [""vector_search_index"", ""filesystem_write_file""]]","{""code_run_code"": 954, ""code_get_output"": 1004, ""vector_search_index"": 1076, ""filesystem_write_file"": 1203}","{""code_run_code"": 1988.9557361602783, ""code_get_output"": 1201.4286518096924, ""vector_search_index"": 943.5837268829346, ""filesystem_write_file"": 1881.3278675079346}",5515,4,True
32,"Search the vector index for prior notes on this topic, read the matching file, and search the web fo",simple,"[""vector_search_index"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""websearch_search_web""]","[[""vector_search_index"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""websearch_search_web""]]","{""vector_search_index"": 826, ""filesystem_read_file"": 945, ""websearch_search_web"": 1051}","{""vector_search_index"": 1042.5055027008057, ""filesystem_read_file"": 4530.465602874756, ""websearch_search_web"": 849.2896556854248}",4033,5,True
33,"Read the file server_list.txt, search the web for each server's latest status page, and query the da",simple,"[""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""database_query_db""]","[[""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""database_query_db""]]","{""filesystem_read_file"": 14222, ""websearch_search_web"": 1576, ""database_query_db"": 1837}","{""filesystem_read_file"": 14403.978109359741, ""websearch_search_web"": 20397.499084472656, ""database_query_db"": 1215.576410293579}",17641,22,True
34,"Search the web for current market prices, query the database for our current holdings, and run an an",simple,"[""websearch_search_web"", ""database_query_db"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""websearch_search_web"", ""database_query_db""], [""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""websearch_search_web"": 829, ""database_query_db"": 868, ""analytics_run_analysis"": 995, ""analytics_generate_report"": 1090}","{""websearch_search_web"": 926.8317222595215, ""database_query_db"": 954.5180797576904, ""analytics_run_analysis"": 1734.2462539672852, ""analytics_generate_report"": 1335.9179496765137}",5084,4,True
35,"Query the sales database for this month's totals, run an analysis of the trend, and email the summar",simple,"[""database_query_db"", ""analytics_run_analysis"", ""analytics_generate_report"", ""email_send_email""]","[[""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""email_send_email""]]","{""database_query_db"": 848, ""analytics_run_analysis"": 901, ""analytics_generate_report"": 995, ""email_send_email"": 1134}","{""database_query_db"": 1101.0327339172363, ""analytics_run_analysis"": 830.7011127471924, ""analytics_generate_report"": 1472.3536968231201, ""email_send_email"": 2207.740068435669}",5097,4,True
36,"Run an analysis of last week's usage data, email the findings to the team, and create a calendar eve",simple,"[""database_query_db"", ""analytics_run_analysis"", ""analytics_generate_report"", ""email_send_email"", ""calendar_create_event""]","[[""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""email_send_email""], [""email_send_email"", ""calendar_create_event""]]","{""database_query_db"": 832, ""analytics_run_analysis"": 921, ""analytics_generate_report"": 374, ""email_send_email"": 374, ""calendar_create_event"": 374}","{""database_query_db"": 964.3728733062744, ""analytics_run_analysis"": 1335.8232975006104, ""analytics_generate_report"": 2416.4810180664062, ""email_send_email"": 2416.4810180664062, ""calendar_create_event"": 2416.4810180664062}",4232,5,True
37,"Read the inbox for the bug report, create a calendar event for the triage meeting, and run code to r",simple,"[""email_read_inbox"", ""calendar_create_event"", ""code_run_code""]","[[""email_read_inbox"", ""calendar_create_event""], [""calendar_create_event"", ""code_run_code""]]","{""email_read_inbox"": 315, ""calendar_create_event"": 315, ""code_run_code"": 315}","{""email_read_inbox"": 2074.8703479766846, ""calendar_create_event"": 2074.8703479766846, ""code_run_code"": 2074.8703479766846}",2110,3,True
38,"List this week's calendar events, run code to extract the meeting topics, and embed the topics for f",simple,"[""calendar_list_events"", ""code_run_code"", ""vector_embed_query""]","[[""calendar_list_events"", ""code_run_code""], [""code_run_code"", ""vector_embed_query""]]","{""calendar_list_events"": 839, ""code_run_code"": 495, ""vector_embed_query"": 495}","{""calendar_list_events"": 1007.7338218688965, ""code_run_code"": 1353.3134460449219, ""vector_embed_query"": 1353.3134460449219}",2955,3,True
39,"Run a Python script to generate a summary, search the vector index for related past summaries, and w",simple,"[""code_run_code"", ""code_get_output"", ""vector_search_index"", ""filesystem_write_file""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""vector_search_index""], [""vector_search_index"", ""filesystem_write_file""]]","{""code_run_code"": 853, ""code_get_output"": 903, ""vector_search_index"": 975, ""filesystem_write_file"": 1105}","{""code_run_code"": 2942.843437194824, ""code_get_output"": 1128.152847290039, ""vector_search_index"": 945.0802803039551, ""filesystem_write_file"": 1610.3003025054932}",5005,4,True
40,"Search the vector index for prior notes on this topic, read the matching file, and search the web fo",simple,"[""vector_search_index"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""websearch_search_web""]","[[""vector_search_index"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""websearch_search_web""]]","{""vector_search_index"": 822, ""filesystem_read_file"": 717, ""websearch_search_web"": 239}","{""vector_search_index"": 1068.924903869629, ""filesystem_read_file"": 5247.660398483276, ""websearch_search_web"": 1749.2201328277588}",2970,5,True
