task_id,task,complexity,tool_sequence,tool_transitions,tokens_per_tool,latency_per_tool,total_tokens,n_tool_calls,success
11,Read config.json and generate a formatted report of its settings,simple,"[""filesystem_read_file"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_generate_report""]]","{""filesystem_read_file"": 800, ""analytics_generate_report"": 853}","{""filesystem_read_file"": 836.8136882781982, ""analytics_generate_report"": 1069.9026584625244}",2596,2,True
12,Run a trend analysis on sales_data.txt and save the output to a new file,simple,"[""filesystem_read_file"", ""analytics_run_analysis"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""filesystem_write_file""]]","{""filesystem_read_file"": 806, ""analytics_run_analysis"": 864, ""filesystem_write_file"": 965}","{""filesystem_read_file"": 1085.669994354248, ""analytics_run_analysis"": 1486.6244792938232, ""filesystem_write_file"": 1288.7229919433594}",3689,3,True
13,List this week's calendar events and query the database for attendee records,simple,"[""calendar_list_events"", ""database_query_db""]","[[""calendar_list_events"", ""database_query_db""]]","{""calendar_list_events"": 434, ""database_query_db"": 434}","{""calendar_list_events"": 1778.2762050628662, ""database_query_db"": 1778.2762050628662}",1882,2,True
14,Create a calendar event for the maintenance window and insert a record noting it in the database,simple,"[""calendar_create_event"", ""database_insert_record""]","[[""calendar_create_event"", ""database_insert_record""]]","{""calendar_create_event"": 451, ""database_insert_record"": 451}","{""calendar_create_event"": 1822.338342666626, ""database_insert_record"": 1822.338342666626}",1933,2,True
15,Send a follow-up email summarizing yesterday's standup,simple,"[""email_read_inbox"", ""calendar_list_events"", ""email_send_email""]","[[""email_read_inbox"", ""calendar_list_events""], [""calendar_list_events"", ""email_send_email""]]","{""email_read_inbox"": 804, ""calendar_list_events"": 889, ""email_send_email"": 1052}","{""email_read_inbox"": 1176.5685081481934, ""calendar_list_events"": 1457.932710647583, ""email_send_email"": 1998.4049797058105}",3861,3,True
16,Run a trend analysis on sales_data.txt and save the output to a new file,simple,"[""filesystem_read_file"", ""analytics_run_analysis"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""filesystem_write_file""]]","{""filesystem_read_file"": 806, ""analytics_run_analysis"": 864, ""filesystem_write_file"": 969}","{""filesystem_read_file"": 855.8120727539062, ""analytics_run_analysis"": 1356.1954498291016, ""filesystem_write_file"": 1420.532464981079}",3701,3,True
17,Run an analysis of last week's log file and write the summary back to disk,simple,"[""filesystem_read_file"", ""analytics_run_analysis"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""filesystem_write_file""]]","{""filesystem_read_file"": 807, ""analytics_run_analysis"": 867, ""filesystem_write_file"": 965}","{""filesystem_read_file"": 874.9568462371826, ""analytics_run_analysis"": 943.1524276733398, ""filesystem_write_file"": 3059.2944622039795}",3693,3,True
18,List this week's calendar events and query the database for attendee records,simple,"[""calendar_list_events"", ""database_query_db""]","[[""calendar_list_events"", ""database_query_db""]]","{""calendar_list_events"": 434, ""database_query_db"": 434}","{""calendar_list_events"": 1670.4659461975098, ""database_query_db"": 1670.4659461975098}",1893,2,True
19,Create a calendar event for the maintenance window and insert a record noting it in the database,simple,"[""calendar_create_event"", ""database_insert_record""]","[[""calendar_create_event"", ""database_insert_record""]]","{""calendar_create_event"": 452, ""database_insert_record"": 452}","{""calendar_create_event"": 2851.6247272491455, ""database_insert_record"": 2851.6247272491455}",1937,2,True
20,Fetch the top result for 'best code editors 2026' and run a Python script to log the finding,simple,"[""websearch_search_web"", ""code_run_code""]","[[""websearch_search_web"", ""code_run_code""]]","{""websearch_search_web"": 815, ""code_run_code"": 925}","{""websearch_search_web"": 1182.3046207427979, ""code_run_code"": 1550.1091480255127}",2767,2,True
21,Run a trend analysis on sales_data.txt and save the output to a new file,simple,"[""filesystem_read_file"", ""analytics_run_analysis"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""filesystem_write_file""]]","{""filesystem_read_file"": 806, ""analytics_run_analysis"": 862, ""filesystem_write_file"": 974}","{""filesystem_read_file"": 1012.4201774597168, ""analytics_run_analysis"": 1111.1390590667725, ""filesystem_write_file"": 2852.977991104126}",3682,3,True
22,Run an analysis of last week's log file and write the summary back to disk,simple,"[""filesystem_read_file"", ""analytics_run_analysis"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""filesystem_write_file""]]","{""filesystem_read_file"": 807, ""analytics_run_analysis"": 866, ""filesystem_write_file"": 970}","{""filesystem_read_file"": 1030.8072566986084, ""analytics_run_analysis"": 1133.7871551513672, ""filesystem_write_file"": 1375.211477279663}",3708,3,True
23,Create a calendar event for the maintenance window and insert a record noting it in the database,simple,"[""calendar_create_event"", ""database_insert_record""]","[[""calendar_create_event"", ""database_insert_record""]]","{""calendar_create_event"": 447, ""database_insert_record"": 447}","{""calendar_create_event"": 1663.743257522583, ""database_insert_record"": 1663.743257522583}",1894,2,True
24,Query the inventory database for low-stock items and create a calendar event to reorder,simple,"[""database_query_db"", ""calendar_create_event""]","[[""database_query_db"", ""calendar_create_event""]]","{""database_query_db"": 822, ""calendar_create_event"": 898}","{""database_query_db"": 1451.6041278839111, ""calendar_create_event"": 1123.8160133361816}",2706,2,True
25,Fetch the top result for 'best code editors 2026' and run a Python script to log the finding,simple,"[""websearch_search_web"", ""code_run_code""]","[[""websearch_search_web"", ""code_run_code""]]","{""websearch_search_web"": 815, ""code_run_code"": 916}","{""websearch_search_web"": 1467.367172241211, ""code_run_code"": 1596.6627597808838}",2733,2,True
26,Read config.json and generate a formatted report of its settings,simple,"[""filesystem_read_file"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_generate_report""]]","{""filesystem_read_file"": 800, ""analytics_generate_report"": 857}","{""filesystem_read_file"": 7341.432571411133, ""analytics_generate_report"": 1047.2466945648193}",2591,2,True
27,Run an analysis of last week's log file and write the summary back to disk,simple,"[""filesystem_read_file"", ""analytics_run_analysis"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""filesystem_write_file""]]","{""filesystem_read_file"": 808, ""analytics_run_analysis"": 869, ""filesystem_write_file"": 979}","{""filesystem_read_file"": 1092.7822589874268, ""analytics_run_analysis"": 907.4506759643555, ""filesystem_write_file"": 2569.817543029785}",3749,3,True
28,Create a calendar event for the maintenance window and insert a record noting it in the database,simple,"[""calendar_create_event"", ""database_insert_record""]","[[""calendar_create_event"", ""database_insert_record""]]","{""calendar_create_event"": 442, ""database_insert_record"": 442}","{""calendar_create_event"": 1643.6207294464111, ""database_insert_record"": 1643.6207294464111}",1908,2,True
29,Create a calendar event for the maintenance window and insert a record noting it in the database,simple,"[""calendar_create_event"", ""database_insert_record""]","[[""calendar_create_event"", ""database_insert_record""]]","{""calendar_create_event"": 443, ""database_insert_record"": 443}","{""calendar_create_event"": 1446.8743801116943, ""database_insert_record"": 1446.8743801116943}",1906,2,True
30,Embed the query 'security vulnerabilities' and search the vector index,simple,"[""vector_embed_query"", ""vector_search_index""]","[[""vector_embed_query"", ""vector_search_index""]]","{""vector_embed_query"": 424, ""vector_search_index"": 424}","{""vector_embed_query"": 1170.5219745635986, ""vector_search_index"": 1170.5219745635986}",1878,2,True
31,Read the file metrics.csv and run a statistical analysis on its contents,simple,"[""filesystem_read_file"", ""analytics_run_analysis""]","[[""filesystem_read_file"", ""analytics_run_analysis""]]","{""filesystem_read_file"": 802, ""analytics_run_analysis"": 859}","{""filesystem_read_file"": 1081.3202857971191, ""analytics_run_analysis"": 1229.093074798584}",2620,2,True
32,Run a trend analysis on sales_data.txt and save the output to a new file,simple,"[""filesystem_read_file"", ""analytics_run_analysis"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""filesystem_write_file""]]","{""filesystem_read_file"": 806, ""analytics_run_analysis"": 864, ""filesystem_write_file"": 967}","{""filesystem_read_file"": 1157.0634841918945, ""analytics_run_analysis"": 1583.1825733184814, ""filesystem_write_file"": 1401.6954898834229}",3708,3,True
33,Query the customers database for upcoming renewals and list the relevant calendar events,simple,"[""database_query_db"", ""calendar_list_events""]","[[""database_query_db"", ""calendar_list_events""]]","{""database_query_db"": 827, ""calendar_list_events"": 898}","{""database_query_db"": 1152.198314666748, ""calendar_list_events"": 1226.9470691680908}",2841,2,True
34,List this week's calendar events and query the database for attendee records,simple,"[""calendar_list_events"", ""database_query_db""]","[[""calendar_list_events"", ""database_query_db""]]","{""calendar_list_events"": 434, ""database_query_db"": 434}","{""calendar_list_events"": 1501.9240379333496, ""database_query_db"": 1501.9240379333496}",1870,2,True
35,Fetch the top result for 'best code editors 2026' and run a Python script to log the finding,simple,"[""websearch_search_web"", ""code_run_code""]","[[""websearch_search_web"", ""code_run_code""]]","{""websearch_search_web"": 815, ""code_run_code"": 921}","{""websearch_search_web"": 1151.493787765503, ""code_run_code"": 1430.7763576507568}",2736,2,True
36,Read the file metrics.csv and run a statistical analysis on its contents,simple,"[""filesystem_read_file"", ""analytics_run_analysis""]","[[""filesystem_read_file"", ""analytics_run_analysis""]]","{""filesystem_read_file"": 802, ""analytics_run_analysis"": 859}","{""filesystem_read_file"": 770.7722187042236, ""analytics_run_analysis"": 1100.3801822662354}",2633,2,True
37,Read config.json and generate a formatted report of its settings,simple,"[""filesystem_read_file"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_generate_report""]]","{""filesystem_read_file"": 800, ""analytics_generate_report"": 864}","{""filesystem_read_file"": 1028.414249420166, ""analytics_generate_report"": 1092.1247005462646}",2606,2,True
38,Query the customers database for upcoming renewals and list the relevant calendar events,simple,"[""database_query_db"", ""calendar_list_events""]","[[""database_query_db"", ""calendar_list_events""]]","{""database_query_db"": 825, ""calendar_list_events"": 896}","{""database_query_db"": 1000.7312297821045, ""calendar_list_events"": 1134.7706317901611}",2780,2,True
39,Create a calendar event for the maintenance window and insert a record noting it in the database,simple,"[""calendar_create_event"", ""database_insert_record""]","[[""calendar_create_event"", ""database_insert_record""]]","{""calendar_create_event"": 444, ""database_insert_record"": 444}","{""calendar_create_event"": 1778.9833545684814, ""database_insert_record"": 1778.9833545684814}",1892,2,True
40,Fetch the top result for 'best code editors 2026' and run a Python script to log the finding,simple,"[""websearch_search_web"", ""code_run_code""]","[[""websearch_search_web"", ""code_run_code""]]","{""websearch_search_web"": 815, ""code_run_code"": 939}","{""websearch_search_web"": 1028.6946296691895, ""code_run_code"": 1752.4044513702393}",2793,2,True
41,Read the file metrics.csv and run a statistical analysis on its contents,simple,"[""filesystem_read_file"", ""analytics_run_analysis""]","[[""filesystem_read_file"", ""analytics_run_analysis""]]","{""filesystem_read_file"": 802, ""analytics_run_analysis"": 859}","{""filesystem_read_file"": 1113.997220993042, ""analytics_run_analysis"": 965.5189514160156}",2621,2,True
42,Read the file metrics.csv and run a statistical analysis on its contents,simple,"[""filesystem_read_file"", ""analytics_run_analysis""]","[[""filesystem_read_file"", ""analytics_run_analysis""]]","{""filesystem_read_file"": 802, ""analytics_run_analysis"": 859}","{""filesystem_read_file"": 729.9494743347168, ""analytics_run_analysis"": 3064.8908615112305}",2639,2,True
43,List this week's calendar events and query the database for attendee records,simple,"[""calendar_list_events"", ""database_query_db""]","[[""calendar_list_events"", ""database_query_db""]]","{""calendar_list_events"": 434, ""database_query_db"": 434}","{""calendar_list_events"": 1758.68558883667, ""database_query_db"": 1758.68558883667}",1867,2,True
44,Query the customers database for upcoming renewals and list the relevant calendar events,simple,"[""database_query_db"", ""calendar_list_events""]","[[""database_query_db"", ""calendar_list_events""]]","{""database_query_db"": 819, ""calendar_list_events"": 891}","{""database_query_db"": 2871.5429306030273, ""calendar_list_events"": 1218.3563709259033}",2791,2,True
45,Fetch the top result for 'best code editors 2026' and run a Python script to log the finding,simple,"[""websearch_search_web"", ""code_run_code""]","[[""websearch_search_web"", ""code_run_code""]]","{""websearch_search_web"": 815, ""code_run_code"": 913}","{""websearch_search_web"": 890.0737762451172, ""code_run_code"": 1650.3932476043701}",2703,2,True
46,Run a trend analysis on sales_data.txt and save the output to a new file,simple,"[""filesystem_read_file"", ""analytics_run_analysis"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""filesystem_write_file""]]","{""filesystem_read_file"": 806, ""analytics_run_analysis"": 864, ""filesystem_write_file"": 967}","{""filesystem_read_file"": 1226.7234325408936, ""analytics_run_analysis"": 2859.5876693725586, ""filesystem_write_file"": 1329.9176692962646}",3698,3,True
47,Run a trend analysis on sales_data.txt and save the output to a new file,simple,"[""filesystem_read_file"", ""analytics_run_analysis"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""filesystem_write_file""]]","{""filesystem_read_file"": 806, ""analytics_run_analysis"": 861, ""filesystem_write_file"": 966}","{""filesystem_read_file"": 774.3649482727051, ""analytics_run_analysis"": 934.1270923614502, ""filesystem_write_file"": 1481.2633991241455}",3698,3,True
48,Query the customers database for upcoming renewals and list the relevant calendar events,simple,"[""database_query_db"", ""calendar_list_events""]","[[""database_query_db"", ""calendar_list_events""]]","{""database_query_db"": 821, ""calendar_list_events"": 892}","{""database_query_db"": 1105.3977012634277, ""calendar_list_events"": 1049.2489337921143}",2831,2,True
49,List this week's calendar events and query the database for attendee records,simple,"[""calendar_list_events"", ""database_query_db""]","[[""calendar_list_events"", ""database_query_db""]]","{""calendar_list_events"": 434, ""database_query_db"": 434}","{""calendar_list_events"": 1774.5697498321533, ""database_query_db"": 1774.5697498321533}",1903,2,True
50,Send a follow-up email summarizing yesterday's standup,simple,"[""email_read_inbox"", ""calendar_list_events"", ""calendar_list_events"", ""email_send_email""]","[[""email_read_inbox"", ""calendar_list_events""], [""calendar_list_events"", ""calendar_list_events""], [""calendar_list_events"", ""email_send_email""]]","{""email_read_inbox"": 804, ""calendar_list_events"": 1879, ""email_send_email"": 1257}","{""email_read_inbox"": 851.6712188720703, ""calendar_list_events"": 6125.582933425903, ""email_send_email"": 2818.279027938843}",5271,4,True
51,"Read the quarterly metrics file, run a full statistical analysis, and generate an executive report f",medium,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""filesystem_read_file"": 811, ""analytics_run_analysis"": 870, ""analytics_generate_report"": 966}","{""filesystem_read_file"": 879.7569274902344, ""analytics_run_analysis"": 856.3261032104492, ""analytics_generate_report"": 1490.7779693603516}",3763,3,True
52,"Read a batch of log files, run code-free trend analysis across them, and write a consolidated report",medium,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""filesystem_write_file""]]","{""filesystem_read_file"": 812, ""analytics_run_analysis"": 871, ""analytics_generate_report"": 964, ""filesystem_write_file"": 1101}","{""filesystem_read_file"": 1121.232032775879, ""analytics_run_analysis"": 898.451566696167, ""analytics_generate_report"": 1099.8952388763428, ""filesystem_write_file"": 2319.0488815307617}",4994,4,True
53,"List next week's calendar events, query the database for related project records, and create a follo",medium,"[""calendar_list_events"", ""database_query_db"", ""calendar_create_event""]","[[""calendar_list_events"", ""database_query_db""], [""database_query_db"", ""calendar_create_event""]]","{""calendar_list_events"": 442, ""database_query_db"": 442, ""calendar_create_event"": 1010}","{""calendar_list_events"": 1544.2631244659424, ""database_query_db"": 1544.2631244659424, ""calendar_create_event"": 970.3998565673828}",3075,3,True
54,"Create calendar events for the on-call rotation, query the incidents database for prior coverage gap",medium,"[""calendar_list_events"", ""database_query_db"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event""]","[[""calendar_list_events"", ""database_query_db""], [""database_query_db"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""]]","{""calendar_list_events"": 445, ""database_query_db"": 445, ""calendar_create_event"": 5970}","{""calendar_list_events"": 1920.6829071044922, ""database_query_db"": 1920.6829071044922, ""calendar_create_event"": 7763.2129192352295}",8427,7,True
55,"Fetch API documentation from the web, run code to test an endpoint, and send an email to the develop",medium,"[""websearch_search_web"", ""code_run_code"", ""email_send_email""]","[[""websearch_search_web"", ""code_run_code""], [""code_run_code"", ""email_send_email""]]","{""websearch_search_web"": 327, ""code_run_code"": 327, ""email_send_email"": 327}","{""websearch_search_web"": 3093.806743621826, ""code_run_code"": 3093.806743621826, ""email_send_email"": 3093.806743621826}",2171,3,True
56,"Read the raw survey data file, run a correlation analysis, and generate a formatted summary report",medium,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""filesystem_read_file"": 810, ""analytics_run_analysis"": 871, ""analytics_generate_report"": 958}","{""filesystem_read_file"": 703.3736705780029, ""analytics_run_analysis"": 1003.2308101654053, ""analytics_generate_report"": 1276.5893936157227}",3772,3,True
57,"Read the config history file, run an analysis of setting changes over time, and generate a change re",medium,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""filesystem_read_file"": 810, ""analytics_run_analysis"": 863, ""analytics_generate_report"": 947}","{""filesystem_read_file"": 893.5949802398682, ""analytics_run_analysis"": 830.4965496063232, ""analytics_generate_report"": 1488.0940914154053}",3783,3,True
58,"List next week's calendar events, query the database for related project records, and create a follo",medium,"[""calendar_list_events"", ""database_query_db"", ""calendar_create_event""]","[[""calendar_list_events"", ""database_query_db""], [""database_query_db"", ""calendar_create_event""]]","{""calendar_list_events"": 449, ""database_query_db"": 449, ""calendar_create_event"": 1025}","{""calendar_list_events"": 2080.862045288086, ""database_query_db"": 2080.862045288086, ""calendar_create_event"": 1228.8432121276855}",3137,3,True
59,"List next week's calendar events, query the database for related project records, and create a follo",medium,"[""calendar_list_events"", ""database_query_db"", ""calendar_create_event""]","[[""calendar_list_events"", ""database_query_db""], [""database_query_db"", ""calendar_create_event""]]","{""calendar_list_events"": 442, ""database_query_db"": 442, ""calendar_create_event"": 1012}","{""calendar_list_events"": 1795.3436374664307, ""database_query_db"": 1795.3436374664307, ""calendar_create_event"": 1092.6213264465332}",3095,3,True
60,"Run code to parse a CSV export, execute a validation script, and send an email with the results",medium,"[""filesystem_read_file"", ""code_run_code"", ""code_get_output"", ""filesystem_read_file"", ""email_send_email""]","[[""filesystem_read_file"", ""code_run_code""], [""code_run_code"", ""code_get_output""], [""code_get_output"", ""filesystem_read_file""], [""filesystem_read_file"", ""email_send_email""]]","{""filesystem_read_file"": 1905, ""code_run_code"": 983, ""code_get_output"": 1033, ""email_send_email"": 1183}","{""filesystem_read_file"": 2265.012741088867, ""code_run_code"": 2037.8289222717285, ""code_get_output"": 898.1013298034668, ""email_send_email"": 1199.805736541748}",6342,5,True
61,"Read the raw survey data file, run a correlation analysis, and generate a formatted summary report",medium,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""filesystem_read_file"": 808, ""analytics_run_analysis"": 867, ""analytics_generate_report"": 961}","{""filesystem_read_file"": 1027.0123481750488, ""analytics_run_analysis"": 1072.2167491912842, ""analytics_generate_report"": 1424.7500896453857}",3736,3,True
62,"Read the quarterly metrics file, run a full statistical analysis, and generate an executive report f",medium,"[""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""filesystem_read_file"": 811, ""analytics_run_analysis"": 870, ""analytics_generate_report"": 956}","{""filesystem_read_file"": 1081.2938213348389, ""analytics_run_analysis"": 1071.7577934265137, ""analytics_generate_report"": 1080.3351402282715}",3722,3,True
63,"List next week's calendar events, query the database for related project records, and create a follo",medium,"[""calendar_list_events"", ""database_query_db"", ""calendar_create_event""]","[[""calendar_list_events"", ""database_query_db""], [""database_query_db"", ""calendar_create_event""]]","{""calendar_list_events"": 442, ""database_query_db"": 442, ""calendar_create_event"": 1011}","{""calendar_list_events"": 2330.5063247680664, ""database_query_db"": 2330.5063247680664, ""calendar_create_event"": 1250.9918212890625}",3094,3,True
64,"Create calendar events for the on-call rotation, query the incidents database for prior coverage gap",medium,"[""calendar_list_events"", ""database_query_db"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event"", ""calendar_create_event""]","[[""calendar_list_events"", ""database_query_db""], [""database_query_db"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""]]","{""calendar_list_events"": 442, ""database_query_db"": 442, ""calendar_create_event"": 4805}","{""calendar_list_events"": 1673.2242107391357, ""database_query_db"": 1673.2242107391357, ""calendar_create_event"": 8888.70882987976}",7404,8,True
65,"Run code to parse a CSV export, execute a validation script, and send an email with the results",medium,"[""code_run_code"", ""filesystem_read_file"", ""email_send_email""]","[[""code_run_code"", ""filesystem_read_file""], [""filesystem_read_file"", ""email_send_email""]]","{""code_run_code"": 883, ""filesystem_read_file"": 932, ""email_send_email"": 1016}","{""code_run_code"": 1577.8324604034424, ""filesystem_read_file"": 1104.426622390747, ""email_send_email"": 1286.2181663513184}",3917,3,True
66,"Read a batch of log files, run code-free trend analysis across them, and write a consolidated report",medium,"[""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""filesystem_write_file""]]","{""filesystem_read_file"": 1710, ""analytics_run_analysis"": 982, ""analytics_generate_report"": 1077, ""filesystem_write_file"": 1220}","{""filesystem_read_file"": 4304.0406703948975, ""analytics_run_analysis"": 824.7652053833008, ""analytics_generate_report"": 1256.382703781128, ""filesystem_write_file"": 2896.3327407836914}",6362,6,True
67,"Read a batch of log files, run code-free trend analysis across them, and write a consolidated report",medium,"[""filesystem_read_file"", ""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_run_analysis"", ""analytics_generate_report"", ""filesystem_write_file""]","[[""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""filesystem_write_file""]]","{""filesystem_read_file"": 1685, ""analytics_run_analysis"": 976, ""analytics_generate_report"": 1141, ""filesystem_write_file"": 1363}","{""filesystem_read_file"": 3268.9709663391113, ""analytics_run_analysis"": 3150.6729125976562, ""analytics_generate_report"": 3131.1559677124023, ""filesystem_write_file"": 3070.2216625213623}",6606,6,True
